"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"83","5_1_1980",132,"DEN",5,1,300,10,17.2000007629395,22.1000003814697,NA,1980,25.7,31.8,27.3,0,NA,NA,"5_1","5_1_300","5_1_300_1980",0,0
"84","5_1_1980",132,"DEN",5,1,306,10,17.1000003814697,44.2999992370605,NA,1980,61.5,40.3,27.6,0,NA,NA,"5_1","5_1_306","5_1_306_1980",0,0
"85","5_1_1980",132,"DEN",5,1,312,10,15.5,38,NA,1980,39.5,35.5,26.3,0,NA,NA,"5_1","5_1_312","5_1_312_1980",0,0
"86","5_1_1980",132,"DEN",5,1,315,10,15.1999998092651,33.2000007629395,NA,1980,32.6,35.8,27.5,0,NA,NA,"5_1","5_1_315","5_1_315_1980",0,0
"87","5_1_1980",132,"DEN",5,1,318,10,16.2000007629395,23.6000003814697,NA,1980,48.4,38.7,26.7,0,NA,NA,"5_1","5_1_318","5_1_318_1980",0,0
"88","5_1_1980",132,"DEN",5,1,321,10,15.1999998092651,17.2000007629395,NA,1980,31.5,32.1,24.1,0,NA,NA,"5_1","5_1_321","5_1_321_1980",0,0
"89","5_1_1980",132,"DEN",5,1,322,10,15.3999996185303,14.3999996185303,NA,1980,44.8,36.3,28.7,0,NA,NA,"5_1","5_1_322","5_1_322_1980",0,0
"90","5_1_1980",132,"DEN",5,1,323,10,15.6000003814697,12.3000001907349,NA,1980,61.7,41.3,30.3,0,NA,NA,"5_1","5_1_323","5_1_323_1980",0,0
"91","5_1_1980",132,"DEN",5,1,327,10,15.6000003814697,2.70000004768372,NA,1980,47.9,37.1,27.2,0,NA,NA,"5_1","5_1_327","5_1_327_1980",0,0
"92","5_1_1980",132,"DEN",5,1,331,10,13.6000003814697,15.3999996185303,NA,1980,34,36.5,29.3,0,NA,NA,"5_1","5_1_331","5_1_331_1980",0,0
"93","5_1_1980",132,"DEN",5,1,334,10,13.6000003814697,25.2000007629395,NA,1980,73.1,42.7,28.2,0,NA,NA,"5_1","5_1_334","5_1_334_1980",0,0
"94","5_1_1980",132,"DEN",5,1,335,10,13.6999998092651,28.3999996185303,NA,1980,39.4,36.2,26.7,0,NA,NA,"5_1","5_1_335","5_1_335_1980",0,0
"95","5_1_1980",132,"DEN",5,1,341,10,13.8000001907349,45.7999992370605,NA,1980,33.5,35,26,0,NA,NA,"5_1","5_1_341","5_1_341_1980",0,0
"96","5_1_1980",132,"DEN",5,1,343,10,11.8999996185303,48.9000015258789,NA,1980,47.4,38.2,28,0,NA,NA,"5_1","5_1_343","5_1_343_1980",0,0
"97","5_1_1980",132,"DEN",5,1,344,10,11.8999996185303,41.0999984741211,NA,1980,51.3,38.9,26.7,0,NA,NA,"5_1","5_1_344","5_1_344_1980",0,0
"98","5_1_1980",132,"DEN",5,1,345,10,11.8999996185303,36.4000015258789,NA,1980,37,34.7,28.5,0,NA,NA,"5_1","5_1_345","5_1_345_1980",0,0
"99","5_1_1980",132,"DEN",5,1,353,10,12,15.1000003814697,NA,1980,47.6,39.5,29.5,0,NA,NA,"5_1","5_1_353","5_1_353_1980",0,0
"100","5_1_1980",132,"DEN",5,1,355,10,12.1999998092651,9.30000019073486,NA,1980,28.6,34.5,26,0,NA,NA,"5_1","5_1_355","5_1_355_1980",0,0
"101","5_1_1980",132,"DEN",5,1,358,10,12.1999998092651,2.90000009536743,NA,1980,33.1,39.4,27.3,0,NA,NA,"5_1","5_1_358","5_1_358_1980",0,0
"102","5_1_1980",132,"DEN",5,1,359,10,10.6999998092651,2.79999995231628,NA,1980,41.4,37,27.1,0,NA,NA,"5_1","5_1_359","5_1_359_1980",0,0
"103","5_1_1980",132,"DEN",5,1,364,10,10.3000001907349,17.2999992370605,NA,1980,50.2,39,24.1,0,NA,NA,"5_1","5_1_364","5_1_364_1980",0,0
"104","5_1_1980",132,"DEN",5,1,368,10,10.1000003814697,33.2000007629395,NA,1980,61.2,41,28,0,NA,NA,"5_1","5_1_368","5_1_368_1980",0,0
"105","5_1_1980",132,"DEN",5,1,370,10,10.3000001907349,45.9000015258789,NA,1980,51.7,39.3,25.5,0,NA,NA,"5_1","5_1_370","5_1_370_1980",0,0
"106","5_1_1980",132,"DEN",5,1,375,10,8.80000019073486,41.5,NA,1980,30.2,28.5,26.3,0,NA,NA,"5_1","5_1_375","5_1_375_1980",0,0
"107","5_1_1980",132,"DEN",5,1,376,10,9,39.7000007629395,NA,1980,67.8,41.3,29.2,0,NA,NA,"5_1","5_1_376","5_1_376_1980",0,0
"108","5_1_1980",132,"DEN",5,1,378,10,9,36.4000015258789,NA,1980,30.3,36.5,27.8,0,NA,NA,"5_1","5_1_378","5_1_378_1980",0,0
"109","5_1_1980",132,"DEN",5,1,392,10,7.5,12.3999996185303,NA,1980,47.4,39,24,0,NA,NA,"5_1","5_1_392","5_1_392_1980",0,0
"110","5_1_1980",132,"DEN",5,1,394,10,7.40000009536743,20.2000007629395,NA,1980,26,31.5,23.2,0,NA,NA,"5_1","5_1_394","5_1_394_1980",0,0
"111","5_1_1980",132,"DEN",5,1,399,10,7,46,NA,1980,41.9,36.2,25.3,0,NA,NA,"5_1","5_1_399","5_1_399_1980",0,0
"112","5_1_1980",132,"DEN",5,1,406,10,5.40000009536743,36.2999992370605,NA,1980,51.4,37.2,26.7,0,NA,NA,"5_1","5_1_406","5_1_406_1980",0,0
"113","5_1_1980",132,"DEN",5,1,407,10,5.5,32.9000015258789,NA,1980,70.4,41,28.8,0,NA,NA,"5_1","5_1_407","5_1_407_1980",0,0
